Model,Number of Nodes,Mean Reward
FF-Agent,3,-1.481253969669342
RNN-Agent,3,-1.5508103489875793
Random-Agent,3,-1.5506575584411622
FF-Agent,5,-2.665061926841736
RNN-Agent,5,-2.636804294586182
Random-Agent,5,-3.1764039993286133
FF-Agent,7,-4.600797462463379
RNN-Agent,7,-4.699531412124633
Random-Agent,7,-4.9959558010101315
FF-Agent,10,-7.83334698677063
RNN-Agent,10,-8.70818271636963
Random-Agent,10,-8.11852960586548
FF-Agent,15,-13.996354293823241
RNN-Agent,15,-16.11141471862793
Random-Agent,15,-16.625235557556152
